date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:15	21151/21151	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2007:00:56%20GMT	https://ceylonfarmer.com/index.php	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/index.html	(from )
12:28:15	279/279	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jun%202020%2007:00:57%20GMT	https://ceylonfarmer.com/robots.txt		(from )
12:28:15	84245/84245	---M-Z	200	added ('OK')	application/javascript	etag:%2214915-5a670750ad496-gzip%22	https://ceylonfarmer.com/catalog/view/javascript/jquery/jquery-2.1.1.min.js	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/javascript/jquery/jquery-2.1.1.min.js	(from https://ceylonfarmer.com/index.php)
12:28:15	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221deac-5a6708b3bb2da-gzip%22	https://ceylonfarmer.com/catalog/view/javascript/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/javascript/bootstrap/css/bootstrap.min.css	(from https://ceylonfarmer.com/index.php)
12:28:15	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%228fd0-5a6708b886bc2-gzip%22	https://ceylonfarmer.com/catalog/view/javascript/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/javascript/bootstrap/js/bootstrap.min.js	(from https://ceylonfarmer.com/index.php)
12:28:16	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5a6708c1cccaf-gzip%22	https://ceylonfarmer.com/catalog/view/javascript/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/javascript/font-awesome/css/font-awesome.min.css	(from https://ceylonfarmer.com/index.php)
12:28:16	41200/41200	---M-Z	200	added ('OK')	text/css	etag:%22a0f0-5a931b1f212d3-gzip%22	https://ceylonfarmer.com/catalog/view/theme/default/stylesheet/stylesheet.css	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/theme/default/stylesheet/stylesheet.css	(from https://ceylonfarmer.com/index.php)
12:28:16	17759/17759	---M-Z	200	added ('OK')	text/css	etag:%22455f-5a670a58374fd-gzip%22	https://ceylonfarmer.com/catalog/view/javascript/jquery/swiper/css/swiper.min.css	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/javascript/jquery/swiper/css/swiper.min.css	(from https://ceylonfarmer.com/index.php)
12:28:16	1916/1916	---M-Z	200	added ('OK')	text/css	etag:%2277c-5a670a589dda3-gzip%22	https://ceylonfarmer.com/catalog/view/javascript/jquery/swiper/css/opencart.css	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/javascript/jquery/swiper/css/opencart.css	(from https://ceylonfarmer.com/index.php)
12:28:17	208639/208639	---M-Z	200	added ('OK')	application/javascript	etag:%2232eff-5a670a5f7bb0b-gzip%22	https://ceylonfarmer.com/catalog/view/javascript/jquery/swiper/js/swiper.jquery.js	C:/My%20Web%20Sites/https___ceylonfarmer.com_index.php/ceylonfarmer.com/catalog/view/javascript/jquery/swiper/js/swiper.jquery.js	(from https://ceylonfarmer.com/index.php)
